chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr16         raider        0             0.54523       0.83224       0.45465       0.87706       0.16776       0.54535       28826         9786908672    122614        1496604672    
chr16         raider        1             0.5455        0.8333        0.45636       0.87726       0.1667        0.54364       0             0             101339        1442631680    
chr16         raider        2             0.54457       0.83704       0.46156       0.87752       0.16296       0.53844       28815         10136584192   47228         1483055104    
chr16         raider        3             0.54377       0.84019       0.46606       0.87774       0.15981       0.53394       28814         10213523456   72722         1516191744    
chr16         raider        4             0.54303       0.84206       0.46864       0.8778        0.15794       0.53136       28828         10212642816   65654         1500553216    
chr16         raider        5             0.54217       0.84408       0.47145       0.87786       0.15592       0.52855       0             0             69399         1510866944    
chr16         raider        6             0.54158       0.84255       0.46876       0.87752       0.15745       0.53124       32408         10991480832   40732         1477689344    
chr16         raider        7             0.54106       0.84114       0.4663        0.87722       0.15886       0.5337        28858         10991239168   8401          1497464832    
chr16         raider        8             0.54068       0.8402        0.46465       0.87701       0.1598        0.53535       28849         10206203904   8547          1482682368    
chr16         raider        9             0.54036       0.83783       0.46084       0.87663       0.16217       0.53916       32412         10504159232   8682          1658363904    
chr16         raider        10            0.53979       0.83821       0.46116       0.87655       0.16179       0.53884       32409         10212986880   177925        1493331968    
chr17         raider        0             0.56329       0.73721       0.38234       0.85392       0.26279       0.61766       28830         10210250752   130832        1447743488    
chr17         raider        1             0.56274       0.73884       0.38357       0.85404       0.26116       0.61643       32420         10209374208   23033         1442480128    
chr17         raider        2             0.56206       0.74058       0.38487       0.85414       0.25942       0.61513       32422         9815461888    77263         1443414016    
chr17         raider        3             0.56169       0.74152       0.38557       0.85419       0.25848       0.61443       32424         9684561920    138476        1442787328    
chr17         raider        4             0.56118       0.74189       0.3857        0.85411       0.25811       0.6143        32414         10210111488   16258         1441861632    
chr17         raider        5             0.56073       0.74262       0.38618       0.8541        0.25738       0.61382       32406         9816637440    95575         1708019712    
chr17         raider        6             0.56038       0.74443       0.38771       0.85431       0.25557       0.61229       32446         10210144256   23734         1444048896    
chr17         raider        7             0.55984       0.74462       0.38766       0.85419       0.25538       0.61234       32421         9705791488    42052         1675284480    
chr17         raider        8             0.55941       0.75069       0.3932        0.85507       0.24931       0.6068        0             0             207568        1445838848    
chr17         raider        9             0.55868       0.76328       0.40531       0.85692       0.23672       0.59469       32423         9733423104    200477        1444204544    
chr17         raider        10            0.55812       0.76486       0.40668       0.85702       0.23514       0.59332       32448         10209931264   157457        1446617088    
chr19         raider        0             0.36396       0.84702       0.42153       0.81301       0.15298       0.57847       0             0             185680        1435836416    
chr19         raider        1             0.36383       0.84557       0.41915       0.81272       0.15443       0.58085       14418         7110344704    203723        1433174016    
chr19         raider        2             0.36389       0.8394        0.40968       0.81161       0.1606        0.59032       14419         7282655232    67074         1486352384    
chr19         raider        3             0.36394       0.83541       0.40379       0.81089       0.16459       0.59621       14422         7110279168    157083        1439485952    
chr19         raider        4             0.36396       0.83093       0.39736       0.81007       0.16907       0.60264       14425         7109738496    13225         1505042432    
chr19         raider        5             0.36383       0.82788       0.393         0.80948       0.17212       0.607         14428         7109292032    114142        1435701248    
chr19         raider        6             0.36382       0.82473       0.38867       0.80888       0.17527       0.61133       0             0             182537        1437331456    
chr19         raider        7             0.36355       0.82394       0.38744       0.80867       0.17606       0.61256       14435         7109365760    74734         1436876800    
chr19         raider        8             0.36329       0.82348       0.38665       0.80852       0.17652       0.61335       14441         7110635520    121564        1435176960    
chr19         raider        9             0.36326       0.82007       0.3821        0.80787       0.17993       0.6179        14444         7109775360    179178        1437843456    
chr19         raider        10            0.36309       0.81669       0.3776        0.80719       0.18331       0.6224        14449         7702966272    56899         1437773824    
chr18         raider        0             0.3178        0.86069       0.37572       0.82705       0.13931       0.62428       18033         8472334336    69653         1433059328    
chr18         raider        1             0.31828       0.85932       0.37378       0.82692       0.14068       0.62622       18041         8661192704    8468          1436344320    
chr18         raider        2             0.31811       0.85757       0.37077       0.8266        0.14243       0.62923       18050         10190336000   69657         1434185728    
chr18         raider        3             0.31808       0.85544       0.3673        0.82623       0.14456       0.6327        18045         9669357568    177621        1436594176    
chr18         raider        4             0.31782       0.85545       0.36711       0.82618       0.14455       0.63289       18057         8466505728    94916         1436196864    
chr18         raider        5             0.31753       0.85371       0.36412       0.82583       0.14629       0.63588       21605         10190450688   48141         1436450816    
chr18         raider        6             0.31688       0.84896       0.35629       0.82488       0.15104       0.64371       0             0             80571         1435914240    
chr18         raider        7             0.31671       0.84987       0.35756       0.825         0.15013       0.64244       21602         8465391616    188529        1435672576    
chr18         raider        8             0.31648       0.84857       0.35541       0.82473       0.15143       0.64459       21633         8964837376    76921         1434906624    
chr18         raider        9             0.31619       0.84799       0.35432       0.82457       0.15201       0.64568       21615         9670246400    48229         1435762688    
chr18         raider        10            0.31598       0.85041       0.35785       0.82494       0.14959       0.64215       21640         10191065088   184999        1435250688    
