org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     
ce10.chrV      	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.698          	0.891          	3659           	197255168      	325873664      	0.985          	0.663
ce10.chrV      	phRAIDER       	0              	20             	20             	1.0            	2              	0.621          	0.813          	6              	606285824      	730427392      	0.962          	0.653
ce10.chrV      	phRAIDER       	1              	21             	21             	1.0            	2              	0.632          	0.799          	7              	0              	0              	0.961          	0.666
ce10.chrV      	phRAIDER       	2              	22             	22             	1.0            	2              	0.644          	0.809          	7              	0              	0              	0.959          	0.678
ce10.chrV      	phRAIDER       	3              	23             	23             	1.0            	2              	0.651          	0.81           	7              	611516416      	733782016      	0.961          	0.686
ce10.chrV      	phRAIDER       	4              	24             	24             	1.0            	2              	0.658          	0.815          	7              	612487168      	734842880      	0.962          	0.691
ce10.chrV      	phRAIDER       	5              	25             	25             	1.0            	2              	0.661          	0.813          	7              	0              	0              	0.963          	0.698
ce10.chrV      	phRAIDER       	6              	26             	26             	1.0            	2              	0.664          	0.821          	7              	614219776      	736591872      	0.964          	0.699
ce10.chrV      	phRAIDER       	7              	27             	27             	1.0            	2              	0.667          	0.819          	8              	613285888      	737353728      	0.965          	0.705
ce10.chrV      	phRAIDER       	8              	28             	28             	1.0            	2              	0.667          	0.806          	7              	615677952      	738050048      	0.967          	0.708
ce10.chrV      	phRAIDER       	9              	29             	29             	1.0            	2              	0.668          	0.806          	7              	0              	0              	0.968          	0.71
ce10.chrV      	phRAIDER       	10             	30             	30             	1.0            	2              	0.669          	0.804          	7              	0              	0              	0.969          	0.713
ce10.chrV      	phRAIDER       	11             	31             	31             	1.0            	2              	0.671          	0.8            	8              	615772160      	739770368      	0.97           	0.717
ce10.chrV      	phRAIDER       	12             	32             	32             	1.0            	2              	0.671          	0.798          	7              	395706368      	518033408      	0.971          	0.719
ce10.chrV      	phRAIDER       	13             	33             	33             	1.0            	2              	0.684          	0.799          	8              	0              	0              	0.971          	0.725
ce10.chrV      	phRAIDER       	14             	34             	34             	1.0            	2              	0.685          	0.797          	8              	617943040      	740270080      	0.97           	0.726
ce10.chrV      	phRAIDER       	15             	35             	35             	1.0            	2              	0.686          	0.794          	8              	0              	0              	0.969          	0.729
ce10.chrV      	phRAIDER       	16             	36             	36             	1.0            	2              	0.687          	0.793          	8              	617938944      	740249600      	0.967          	0.732
ce10.chrV      	phRAIDER       	17             	37             	37             	1.0            	2              	0.687          	0.789          	8              	616259584      	740261888      	0.967          	0.734
ce10.chrV      	phRAIDER       	18             	38             	38             	1.0            	2              	0.688          	0.787          	8              	0              	0              	0.966          	0.736
ce10.chrV      	phRAIDER       	19             	39             	39             	1.0            	2              	0.687          	0.787          	8              	688676864      	811003904      	0.964          	0.738
ce10.chrV      	phRAIDER       	20             	40             	40             	1.0            	2              	0.687          	0.785          	8              	688668672      	810971136      	0.963          	0.74
ce10.chrV      	phRAIDER       	21             	41             	41             	1.0            	2              	0.688          	0.784          	9              	616222720      	740302848      	0.962          	0.742
