	SW	perc	perc	perc	query	position in query	matching	repeat	position in  repeat
	score	div.	del.	ins.	sequence	begin	end	(left)	repeat	class/family	begin	end (left)	ID

	0	0	0	0	ChrI	1622	1744	(0)	+	LONGPAL1	DNA	0	0	(0)	6
	0	0	0	0	ChrI	2052	3026	(0)	+	PALTTTAAA3	DNA	0	0	(0)	7
	0	0	0	0	ChrI	3124	3652	(0)	+	PALTTTAAA3	DNA	0	0	(0)	8
	0	0	0	0	ChrI	4423	4750	(0)	+	CELE2	DNA	0	0	(0)	9
	0	0	0	0	ChrI	4832	4869	(0)	+	AT_rich	Low_complexity	0	0	(0)	10
	0	0	0	0	ChrI	5147	5181	(0)	+	AT_rich	Low_complexity	0	0	(0)	11
	0	0	0	0	ChrI	5300	5340	(0)	+	AT_rich	Low_complexity	0	0	(0)	12
	0	0	0	0	ChrI	5666	5706	(0)	+	AT_rich	Low_complexity	0	0	(0)	14
	0	0	0	0	ChrI	7166	7254	(0)	+	PALTTTAAA3	DNA	0	0	(0)	18
	0	0	0	0	ChrI	7410	7431	(0)	+	AT_rich	Low_complexity	0	0	(0)	21
	0	0	0	0	ChrI	9434	9508	(0)	+	NPALTA1_CE	DNA	0	0	(0)	23
	0	0	0	0	ChrI	9652	9683	(0)	+	AT_rich	Low_complexity	0	0	(0)	25
	0	0	0	0	ChrI	10806	11012	(0)	+	CELE1	DNA	0	0	(0)	29
	0	0	0	0	ChrI	13468	13558	(0)	+	TIR9TA1C_CE	DNA	0	0	(0)	33
	0	0	0	0	ChrI	14785	14896	(0)	+	CELE1	DNA	0	0	(0)	37
	0	0	0	0	ChrI	15528	15886	(0)	+	PALTA3_CE	DNA	0	0	(0)	39
	0	0	0	0	ChrI	17249	17418	(0)	+	CEMUDR1	MuDR	0	0	(0)	41
	0	0	0	0	ChrI	18898	18941	(0)	+	AT_rich	Low_complexity	0	0	(0)	43
	0	0	0	0	ChrI	19433	19468	(0)	+	AT_rich	Low_complexity	0	0	(0)	44
	0	0	0	0	ChrI	21315	21357	(0)	+	AT_rich	Low_complexity	0	0	(0)	47
	0	0	0	0	ChrI	21736	21945	(0)	+	NPAL0A_CE	DNA	0	0	(0)	48
	0	0	0	0	ChrI	27412	27456	(0)	+	AT_rich	Low_complexity	0	0	(0)	55
	0	0	0	0	ChrI	28016	28054	(0)	+	AT_rich	Low_complexity	0	0	(0)	57
	0	0	0	0	ChrI	28506	28527	(0)	+	AT_rich	Low_complexity	0	0	(0)	58
	0	0	0	0	ChrI	28919	28961	(0)	+	AT_rich	Low_complexity	0	0	(0)	59
	0	0	0	0	ChrI	30548	30640	(0)	+	CELE6	DNA	0	0	(0)	61
	0	0	0	0	ChrI	31005	31105	(0)	+	CELE1	DNA	0	0	(0)	64
	0	0	0	0	ChrI	33546	33571	(0)	+	(G)n	Simple_repeat	0	0	(0)	66
	0	0	0	0	ChrI	34205	34441	(0)	+	CELE42	DNA	0	0	(0)	67
	0	0	0	0	ChrI	35680	35782	(0)	+	CELE2	DNA	0	0	(0)	68
	0	0	0	0	ChrI	35822	35880	(0)	+	CELE2	DNA	0	0	(0)	70
	0	0	0	0	ChrI	36974	37701	(0)	+	TC1A	Mariner/Tc1	0	0	(0)	71
	0	0	0	0	ChrI	39352	39419	(0)	+	AT_rich	Low_complexity	0	0	(0)	75
	0	0	0	0	ChrI	39860	39901	(0)	+	(GA)n	Simple_repeat	0	0	(0)	77
	0	0	0	0	ChrI	42235	42307	(0)	+	(GA)n	Simple_repeat	0	0	(0)	78
	0	0	0	0	ChrI	42672	42825	(0)	+	CELE1	DNA	0	0	(0)	80
	0	0	0	0	ChrI	43248	43465	(0)	+	CELE42	DNA	0	0	(0)	81
	0	0	0	0	ChrI	46555	46730	(0)	+	CELE14A	DNA	0	0	(0)	84
	0	0	0	0	ChrI	46901	47066	(0)	+	TIR21T5A_CE	DNA	0	0	(0)	85
	0	0	0	0	ChrI	49447	49540	(0)	+	CELE7	DNA	0	0	(0)	86
	0	0	0	0	ChrI	55530	55714	(0)	+	(CAGG)n	Simple_repeat	0	0	(0)	94
	0	0	0	0	ChrI	56429	56455	(0)	+	AT_rich	Low_complexity	0	0	(0)	95
	0	0	0	0	ChrI	57657	57712	(0)	+	(TTAGGC)n	Simple_repeat	0	0	(0)	97
	0	0	0	0	ChrI	57861	57897	(0)	+	AT_rich	Low_complexity	0	0	(0)	98
	0	0	0	0	ChrI	58870	59022	(0)	+	TIR9TA1C_CE	DNA	0	0	(0)	99
	0	0	0	0	ChrI	68610	68632	(0)	+	(TTAGGC)n	Simple_repeat	0	0	(0)	105
	0	0	0	0	ChrI	69286	69426	(0)	+	PALTTTAAA1	DNA	0	0	(0)	111
	0	0	0	0	ChrI	71524	71802	(0)	+	CELE2	DNA	0	0	(0)	116
	0	0	0	0	ChrI	73264	73308	(0)	+	AT_rich	Low_complexity	0	0	(0)	117
	0	0	0	0	ChrI	73488	73611	(0)	+	HELITRONY1A_CE	Helitron	0	0	(0)	119
	0	0	0	0	ChrI	74071	74095	(0)	+	AT_rich	Low_complexity	0	0	(0)	120
	0	0	0	0	ChrI	74441	74577	(0)	+	PAL3A_CE	DNA	0	0	(0)	121
	0	0	0	0	ChrI	75021	75123	(0)	+	AT_rich	Low_complexity	0	0	(0)	123
	0	0	0	0	ChrI	75657	75738	(0)	+	PALTTTAAA1	DNA	0	0	(0)	126
	0	0	0	0	ChrI	77271	77320	(0)	+	AT_rich	Low_complexity	0	0	(0)	129
	0	0	0	0	ChrI	78821	78912	(0)	+	AT_rich	Low_complexity	0	0	(0)	131
	0	0	0	0	ChrI	82353	82389	(0)	+	AT_rich	Low_complexity	0	0	(0)	134
	0	0	0	0	ChrI	82680	82719	(0)	+	AT_rich	Low_complexity	0	0	(0)	136
	0	0	0	0	ChrI	83649	83973	(0)	+	CELE1	DNA	0	0	(0)	137
	0	0	0	0	ChrI	84756	84776	(0)	+	AT_rich	Low_complexity	0	0	(0)	140
	0	0	0	0	ChrI	85821	86043	(0)	+	TIR9TA1C_CE	DNA	0	0	(0)	142
	0	0	0	0	ChrI	92835	92863	(0)	+	AT_rich	Low_complexity	0	0	(0)	152
	0	0	0	0	ChrI	99940	99972	(0)	+	AT_rich	Low_complexity	0	0	(0)	154
	0	0	0	0	ChrI	101833	101940	(0)	+	CELE1	DNA	0	0	(0)	159
	0	0	0	0	ChrI	101951	102064	(0)	+	CELE1	DNA	0	0	(0)	160
	0	0	0	0	ChrI	104189	104231	(0)	+	AT_rich	Low_complexity	0	0	(0)	161
	0	0	0	0	ChrI	105195	105304	(0)	+	PALTTTAAA1	DNA	0	0	(0)	163
	0	0	0	0	ChrI	105948	105970	(0)	+	AT_rich	Low_complexity	0	0	(0)	165
	0	0	0	0	ChrI	113730	113777	(0)	+	AT_rich	Low_complexity	0	0	(0)	166
	0	0	0	0	ChrI	114589	114668	(0)	+	(GGAGAA)n	Simple_repeat	0	0	(0)	167
	0	0	0	0	ChrI	116328	116357	(0)	+	AT_rich	Low_complexity	0	0	(0)	172
	0	0	0	0	ChrI	117994	118017	(0)	+	AT_rich	Low_complexity	0	0	(0)	173
	0	0	0	0	ChrI	124542	124571	(0)	+	AT_rich	Low_complexity	0	0	(0)	176
	0	0	0	0	ChrI	125407	125479	(0)	+	TIR9TA1C_CE	DNA	0	0	(0)	177
	0	0	0	0	ChrI	125619	125641	(0)	+	AT_rich	Low_complexity	0	0	(0)	179
	0	0	0	0	ChrI	126845	127164	(0)	+	CELE1	DNA	0	0	(0)	180
	0	0	0	0	ChrI	131907	132053	(0)	+	CELE1	DNA	0	0	(0)	184
	0	0	0	0	ChrI	132859	132879	(0)	+	AT_rich	Low_complexity	0	0	(0)	186
	0	0	0	0	ChrI	132991	133040	(0)	+	AT_rich	Low_complexity	0	0	(0)	187
	0	0	0	0	ChrI	134012	134039	(0)	+	AT_rich	Low_complexity	0	0	(0)	189
	0	0	0	0	ChrI	134720	135019	(0)	+	CELE1	DNA	0	0	(0)	191
	0	0	0	0	ChrI	135909	135936	(0)	+	AT_rich	Low_complexity	0	0	(0)	193
	0	0	0	0	ChrI	145253	145287	(0)	+	AT_rich	Low_complexity	0	0	(0)	197
	0	0	0	0	ChrI	145847	145896	(0)	+	HELITRONY4_CE	Helitron	0	0	(0)	198
	0	0	0	0	ChrI	148366	148746	(0)	+	LINE2G_CE	CR1	0	0	(0)	199
	0	0	0	0	ChrI	155195	155225	(0)	+	AT_rich	Low_complexity	0	0	(0)	200
	0	0	0	0	ChrI	157273	157357	(0)	+	AT_rich	Low_complexity	0	0	(0)	206
	0	0	0	0	ChrI	158156	158176	(0)	+	AT_rich	Low_complexity	0	0	(0)	209
	0	0	0	0	ChrI	166399	166441	(0)	+	AT_rich	Low_complexity	0	0	(0)	218
	0	0	0	0	ChrI	169364	169452	(0)	+	CELE42	DNA	0	0	(0)	219
	0	0	0	0	ChrI	175968	176005	(0)	+	AT_rich	Low_complexity	0	0	(0)	221
	0	0	0	0	ChrI	179519	179546	(0)	+	AT_rich	Low_complexity	0	0	(0)	225
	0	0	0	0	ChrI	180114	180134	(0)	+	AT_rich	Low_complexity	0	0	(0)	227
	0	0	0	0	ChrI	181616	181658	(0)	+	AT_rich	Low_complexity	0	0	(0)	230
