org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
ce10.chrV      	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.698          	0.891          	3657           	197357568      	325971968      	0.985          	0.663          		NA
ce10.chrV      	phRAIDER       	129            	42             	40             	0.952          	2              	0.692          	0.782          	9              	618430464      	740700160      	0.963          	0.749          		111110111111111111111111111111111111011111
ce10.chrV      	phRAIDER       	110            	42             	40             	0.952          	2              	0.701          	0.752          	9              	0              	0              	0.966          	0.759          		111111111111111111011110111111111111111111
ce10.chrV      	phRAIDER       	137            	42             	40             	0.952          	2              	0.7            	0.78           	9              	0              	0              	0.964          	0.755          		111111111101111111111111111111101111111111
ce10.chrV      	phRAIDER       	116            	42             	40             	0.952          	2              	0.694          	0.78           	9              	0              	0              	0.963          	0.748          		111111011111111111111111111111111110111111
ce10.chrV      	phRAIDER       	179            	42             	40             	0.952          	2              	0.69           	0.784          	8              	0              	0              	0.962          	0.743          		110111111111111111111111111111111111111011
ce10.chrV      	phRAIDER       	37             	42             	40             	0.952          	2              	0.699          	0.774          	8              	0              	0              	0.965          	0.754          		111111111110111111111111111111011111111111
ce10.chrV      	phRAIDER       	132            	42             	40             	0.952          	2              	0.703          	0.775          	9              	0              	0              	0.966          	0.759          		111111111111110111111111111011111111111111
ce10.chrV      	phRAIDER       	68             	42             	40             	0.952          	2              	0.702          	0.776          	9              	341745664      	464072704      	0.966          	0.757          		111111111111101111111111111101111111111111
ce10.chrV      	phRAIDER       	46             	42             	40             	0.952          	2              	0.699          	0.778          	9              	0              	0              	0.966          	0.756          		111111111111011111111111111110111111111111
ce10.chrV      	phRAIDER       	125            	42             	40             	0.952          	2              	0.7            	0.781          	9              	0              	0              	0.963          	0.753          		111111111011111111111111111111110111111111
ce10.chrV      	phRAIDER       	48             	42             	40             	0.952          	2              	0.703          	0.773          	10             	674328576      	798294016      	0.966          	0.757          		111111111111111101111111101111111111111111
ce10.chrV      	phRAIDER       	97             	42             	40             	0.952          	2              	0.692          	0.79           	9              	11767808       	134713344      	0.963          	0.748          		111101111111111111111111111111111111101111
ce10.chrV      	phRAIDER       	157            	42             	40             	0.952          	2              	0.702          	0.772          	8              	0              	0              	0.966          	0.756          		111111111111111011111111110111111111111111
ce10.chrV      	phRAIDER       	122            	42             	40             	0.952          	2              	0.699          	0.761          	8              	0              	0              	0.966          	0.757          		111111111111111111101101111111111111111111
ce10.chrV      	phRAIDER       	55             	42             	40             	0.952          	2              	0.695          	0.787          	9              	0              	0              	0.963          	0.749          		111111101111111111111111111111111101111111
ce10.chrV      	phRAIDER       	170            	44             	40             	0.909          	2              	0.697          	0.776          	9              	618725376      	741167104      	0.962          	0.75           		11011101111111111111111111111111111110111011
ce10.chrV      	phRAIDER       	39             	44             	40             	0.909          	2              	0.705          	0.758          	9              	0              	0              	0.966          	0.761          		11101111111111111011111111011111111111110111
ce10.chrV      	phRAIDER       	112            	44             	40             	0.909          	2              	0.706          	0.773          	10             	0              	0              	0.966          	0.764          		11111111011111110111111111101111111011111111
ce10.chrV      	phRAIDER       	124            	44             	40             	0.909          	2              	0.702          	0.775          	8              	0              	0              	0.965          	0.761          		11111111011111111111100111111111111011111111
ce10.chrV      	phRAIDER       	130            	44             	40             	0.909          	2              	0.702          	0.77           	8              	0              	0              	0.964          	0.759          		11111101111011111111111111111111011110111111
ce10.chrV      	phRAIDER       	19             	44             	40             	0.909          	2              	0.705          	0.763          	9              	0              	0              	0.965          	0.761          		10111111111111111011111111011111111111111101
ce10.chrV      	phRAIDER       	119            	44             	40             	0.909          	2              	0.705          	0.771          	9              	619454464      	741806080      	0.967          	0.764          		11111111111111011101111110111011111111111111
ce10.chrV      	phRAIDER       	27             	44             	40             	0.909          	2              	0.696          	0.78           	9              	618573824      	740962304      	0.962          	0.75           		11010111111111111111111111111111111111101011
ce10.chrV      	phRAIDER       	33             	44             	40             	0.909          	2              	0.7            	0.778          	9              	618790912      	741228544      	0.962          	0.752          		11011111011111111111111111111111111011111011
ce10.chrV      	phRAIDER       	92             	44             	40             	0.909          	2              	0.705          	0.768          	10             	676139008      	798556160      	0.965          	0.765          		11111011111111111101111110111111111111011111
ce10.chrV      	phRAIDER       	140            	44             	40             	0.909          	2              	0.705          	0.777          	9              	619184128      	741564416      	0.965          	0.762          		11111101111111101111111111110111111110111111
ce10.chrV      	phRAIDER       	88             	44             	40             	0.909          	2              	0.705          	0.779          	8              	0              	0              	0.965          	0.763          		11111110111111011111111111111011111101111111
ce10.chrV      	phRAIDER       	64             	44             	40             	0.909          	2              	0.704          	0.738          	9              	0              	0              	0.967          	0.766          		11111111111111101110111101110111111111111111
ce10.chrV      	phRAIDER       	36             	44             	40             	0.909          	2              	0.7            	0.765          	9              	619319296      	741785600      	0.967          	0.764          		11111111111111111101100110111111111111111111
ce10.chrV      	phRAIDER       	2              	44             	40             	0.909          	2              	0.707          	0.756          	9              	0              	0              	0.966          	0.765          		11111111110111111110111101111111101111111111
ce10.chrV      	phRAIDER       	89             	46             	40             	0.87           	2              	0.696          	0.768          	9              	687374336      	809656320      	0.961          	0.752          		1101010111111111111111111111111111111110101011
ce10.chrV      	phRAIDER       	138            	46             	40             	0.87           	2              	0.702          	0.747          	9              	0              	0              	0.969          	0.767          		1111111111111011111010110101111101111111111111
ce10.chrV      	phRAIDER       	54             	46             	40             	0.87           	2              	0.703          	0.773          	9              	0              	0              	0.964          	0.765          		1011111011111101111111111111111011111101111101
ce10.chrV      	phRAIDER       	103            	46             	40             	0.87           	2              	0.7            	0.775          	9              	0              	0              	0.967          	0.768          		1101111111111110111110110111110111111111111011
ce10.chrV      	phRAIDER       	128            	46             	40             	0.87           	2              	0.707          	0.768          	9              	619311104      	741662720      	0.964          	0.766          		1011101111111111110111111110111111111111011101
ce10.chrV      	phRAIDER       	151            	46             	40             	0.87           	2              	0.703          	0.763          	9              	0              	0              	0.967          	0.769          		1111111011111011110111111110111101111101111111
ce10.chrV      	phRAIDER       	177            	46             	40             	0.87           	2              	0.698          	0.767          	9              	415338496      	537751552      	0.962          	0.754          		1111011100111111111111111111111111110011101111
ce10.chrV      	phRAIDER       	147            	46             	40             	0.87           	2              	0.705          	0.772          	8              	0              	0              	0.967          	0.768          		1111011111111011011111111111101101111111101111
ce10.chrV      	phRAIDER       	107            	46             	40             	0.87           	2              	0.701          	0.766          	9              	619855872      	742285312      	0.968          	0.771          		1111111111011111011011111101101111101111111111
ce10.chrV      	phRAIDER       	117            	46             	40             	0.87           	2              	0.705          	0.767          	9              	0              	0              	0.964          	0.766          		1101110111111111011111111111101111111110111011
ce10.chrV      	phRAIDER       	135            	46             	40             	0.87           	2              	0.703          	0.761          	9              	118493184      	241790976      	0.964          	0.767          		1111111010111111111101111011111111110101111111
ce10.chrV      	phRAIDER       	95             	46             	40             	0.87           	2              	0.692          	0.775          	8              	0              	0              	0.96           	0.752          		1010101111111111111111111111111111111111010101
ce10.chrV      	phRAIDER       	143            	46             	40             	0.87           	2              	0.705          	0.762          	9              	0              	0              	0.964          	0.765          		1011111101111111101111111111011111111011111101
ce10.chrV      	phRAIDER       	60             	46             	40             	0.87           	2              	0.705          	0.765          	9              	0              	0              	0.969          	0.766          		1111111111111111101101001011011111111111111111
ce10.chrV      	phRAIDER       	85             	46             	40             	0.87           	2              	0.703          	0.751          	9              	532221952      	654544896      	0.969          	0.763          		1111111111111111111001001001111111111111111111
ce10.chrV      	phRAIDER       	10             	48             	40             	0.833          	2              	0.702          	0.744          	8              	0              	0              	0.97           	0.765          		111111111111111111110000000011111111111111111111
ce10.chrV      	phRAIDER       	134            	48             	40             	0.833          	2              	0.705          	0.77           	9              	0              	0              	0.966          	0.768          		111011011111111101101111111101101111111110110111
ce10.chrV      	phRAIDER       	24             	48             	40             	0.833          	2              	0.701          	0.767          	9              	690524160      	812863488      	0.966          	0.771          		110110111111111111011011110110111111111111011011
ce10.chrV      	phRAIDER       	0              	48             	40             	0.833          	2              	0.703          	0.778          	11             	0              	0              	0.967          	0.769          		111101111110111110011111111110011111011111101111
ce10.chrV      	phRAIDER       	12             	48             	40             	0.833          	2              	0.701          	0.764          	9              	0              	0              	0.965          	0.769          		101111111101011111101111111101111110101111111101
ce10.chrV      	phRAIDER       	148            	48             	40             	0.833          	2              	0.702          	0.763          	0              	0              	0              	0.96           	0.76           		111011100111011111111111111111111110111001110111
ce10.chrV      	phRAIDER       	152            	48             	40             	0.833          	2              	0.698          	0.758          	10             	0              	0              	0.966          	0.767          		110111011111111011111110011111110111111110111011
ce10.chrV      	phRAIDER       	58             	48             	40             	0.833          	2              	0.705          	0.752          	8              	0              	0              	0.968          	0.774          		111011111111101111111001100111111101111111110111
ce10.chrV      	phRAIDER       	21             	48             	40             	0.833          	2              	0.704          	0.782          	9              	619769856      	742146048      	0.965          	0.766          		111101111011101101111111111111101101110111101111
ce10.chrV      	phRAIDER       	34             	48             	40             	0.833          	2              	0.702          	0.775          	10             	619974656      	742338560      	0.968          	0.774          		111011111111100110111111111111011001111111110111
ce10.chrV      	phRAIDER       	131            	48             	40             	0.833          	2              	0.7            	0.767          	9              	690798592      	813264896      	0.969          	0.775          		111110111111111101011011110110101111111111011111
ce10.chrV      	phRAIDER       	91             	48             	40             	0.833          	2              	0.705          	0.759          	8              	0              	0              	0.968          	0.77           		111101111111101101111011110111101101111111101111
ce10.chrV      	phRAIDER       	145            	48             	40             	0.833          	2              	0.7            	0.75           	9              	0              	0              	0.963          	0.765          		111011110011110111111111111111111011110011110111
ce10.chrV      	phRAIDER       	126            	48             	40             	0.833          	2              	0.704          	0.765          	8              	0              	0              	0.966          	0.776          		110111101111110111110111111011111011111101111011
ce10.chrV      	phRAIDER       	153            	48             	40             	0.833          	2              	0.699          	0.773          	9              	252342272      	374722560      	0.96           	0.76           		101010111111011111111111111111111110111111010101
ce10.chrV      	phRAIDER       	146            	50             	40             	0.8            	2              	0.706          	0.757          	9              	618557440      	742612992      	0.966          	0.772          		11101111110100111111110111101111111100101111110111
ce10.chrV      	phRAIDER       	20             	50             	40             	0.8            	2              	0.706          	0.761          	10             	619991040      	742359040      	0.965          	0.774          		10111111001111111101101111110110111111110011111101
ce10.chrV      	phRAIDER       	16             	50             	40             	0.8            	2              	0.702          	0.765          	9              	0              	0              	0.964          	0.771          		10111110011111011111101111110111111011111001111101
ce10.chrV      	phRAIDER       	73             	50             	40             	0.8            	2              	0.705          	0.763          	9              	620212224      	742653952      	0.969          	0.771          		11011111111110001111111100111111110001111111111011
ce10.chrV      	phRAIDER       	43             	50             	40             	0.8            	2              	0.702          	0.764          	10             	0              	0              	0.962          	0.77           		11101011001111111101111111111110111111110011010111
ce10.chrV      	phRAIDER       	172            	50             	40             	0.8            	2              	0.702          	0.762          	9              	0              	0              	0.964          	0.772          		11001111101111110011111111111111001111110111110011
ce10.chrV      	phRAIDER       	142            	50             	40             	0.8            	2              	0.707          	0.774          	10             	690905088      	813305856      	0.966          	0.774          		10111111101110110111101111110111101101110111111101
ce10.chrV      	phRAIDER       	167            	50             	40             	0.8            	2              	0.703          	0.758          	9              	0              	0              	0.966          	0.775          		10101111111111011111111000011111111011111111110101
ce10.chrV      	phRAIDER       	156            	50             	40             	0.8            	2              	0.705          	0.749          	10             	620113920      	742469632      	0.967          	0.773          		11111101101111110011111100111111001111110110111111
ce10.chrV      	phRAIDER       	159            	50             	40             	0.8            	2              	0.703          	0.762          	9              	434999296      	557346816      	0.967          	0.775          		11011111110111100111111100111111100111101111111011
ce10.chrV      	phRAIDER       	22             	50             	40             	0.8            	2              	0.708          	0.77           	9              	0              	0              	0.967          	0.772          		11101111011111011011111100111111011011111011110111
ce10.chrV      	phRAIDER       	169            	50             	40             	0.8            	2              	0.708          	0.741          	10             	620048384      	742420480      	0.965          	0.776          		11011111001111111101110111101110111111110011111011
ce10.chrV      	phRAIDER       	9              	50             	40             	0.8            	2              	0.703          	0.766          	10             	0              	0              	0.963          	0.768          		11001111111010111111111100111111111101011111110011
ce10.chrV      	phRAIDER       	6              	50             	40             	0.8            	2              	0.701          	0.757          	9              	399708160      	522117120      	0.959          	0.763          		11111100011100111111111111111111111100111000111111
ce10.chrV      	phRAIDER       	75             	50             	40             	0.8            	2              	0.701          	0.771          	10             	620007424      	742330368      	0.965          	0.777          		11111101010111111111101100110111111111101010111111
ce10.chrV      	phRAIDER       	82             	52             	40             	0.769          	2              	0.707          	0.766          	10             	0              	0              	0.97           	0.78           		1111110111110110011011110110111101100110111110111111
ce10.chrV      	phRAIDER       	160            	52             	40             	0.769          	2              	0.696          	0.75           	10             	620417024      	742801408      	0.969          	0.774          		1110011111111111110100011111100010111111111111100111
ce10.chrV      	phRAIDER       	94             	52             	40             	0.769          	2              	0.701          	0.753          	9              	0              	0              	0.969          	0.781          		1111011101111110111101101001011011110111111011101111
ce10.chrV      	phRAIDER       	96             	52             	40             	0.769          	2              	0.705          	0.769          	9              	0              	0              	0.97           	0.778          		1111101111101111101110101001010111011111011111011111
ce10.chrV      	phRAIDER       	108            	52             	40             	0.769          	2              	0.707          	0.766          	9              	0              	0              	0.97           	0.777          		1011111111111100110101011111101010110011111111111101
ce10.chrV      	phRAIDER       	78             	52             	40             	0.769          	2              	0.703          	0.763          	9              	619741184      	742162432      	0.962          	0.769          		1111110000011111101111111111111111011111100000111111
ce10.chrV      	phRAIDER       	115            	52             	40             	0.769          	2              	0.701          	0.739          	10             	619069440      	743075840      	0.971          	0.785          		1111101111111101011011001111001101101011111111011111
ce10.chrV      	phRAIDER       	41             	52             	40             	0.769          	2              	0.702          	0.76           	10             	690884608      	813273088      	0.963          	0.775          		1111010101101101111101111111111011111011011010101111
ce10.chrV      	phRAIDER       	111            	52             	40             	0.769          	2              	0.706          	0.76           	8              	0              	0              	0.964          	0.775          		1101110011110111111001111111111001111110111100111011
ce10.chrV      	phRAIDER       	38             	52             	40             	0.769          	2              	0.702          	0.767          	9              	0              	0              	0.966          	0.779          		1001111011111111111101010110101011111111111101111001
ce10.chrV      	phRAIDER       	155            	52             	40             	0.769          	2              	0.703          	0.757          	9              	0              	0              	0.969          	0.778          		1111110111101011011010111111110101101101011110111111
ce10.chrV      	phRAIDER       	113            	52             	40             	0.769          	2              	0.707          	0.765          	11             	0              	0              	0.966          	0.775          		1101011101111110011101111111111011100111111011101011
ce10.chrV      	phRAIDER       	13             	52             	40             	0.769          	2              	0.704          	0.77           	10             	620494848      	742871040      	0.965          	0.771          		1111110111001011010111111111111110101101001110111111
ce10.chrV      	phRAIDER       	30             	52             	40             	0.769          	2              	0.705          	0.746          	9              	0              	0              	0.968          	0.783          		1111100111111011101111001111001111011101111110011111
ce10.chrV      	phRAIDER       	56             	52             	40             	0.769          	2              	0.701          	0.762          	9              	0              	0              	0.971          	0.782          		1111111011111101001110111001110111001011111101111111
ce10.chrV      	phRAIDER       	133            	54             	40             	0.741          	2              	0.706          	0.762          	10             	620244992      	742576128      	0.963          	0.776          		110011100110111111010111111111111010111111011001110011
ce10.chrV      	phRAIDER       	176            	54             	40             	0.741          	2              	0.704          	0.761          	9              	0              	0              	0.966          	0.781          		111101110101011111011011101101110110111110101011101111
ce10.chrV      	phRAIDER       	100            	54             	40             	0.741          	2              	0.701          	0.752          	10             	620486656      	742817792      	0.965          	0.777          		111001011101111101011111110011111110101111101110100111
ce10.chrV      	phRAIDER       	144            	54             	40             	0.741          	2              	0.703          	0.763          	10             	11358208       	134713344      	0.97           	0.777          		111110111111000111101010111111010101111000111111011111
ce10.chrV      	phRAIDER       	163            	54             	40             	0.741          	2              	0.707          	0.758          	10             	618692608      	742776832      	0.963          	0.781          		110110001111101111111101101101101111111101111100011011
ce10.chrV      	phRAIDER       	3              	54             	40             	0.741          	2              	0.7            	0.758          	10             	620961792      	743358464      	0.97           	0.779          		111111111001111100010011111111110010001111100111111111
ce10.chrV      	phRAIDER       	136            	54             	40             	0.741          	2              	0.701          	0.755          	9              	620089344      	742469632      	0.962          	0.778          		100011111101011111111001111111100111111110101111110001
ce10.chrV      	phRAIDER       	76             	54             	40             	0.741          	2              	0.708          	0.763          	10             	192249856      	316186624      	0.971          	0.783          		111110111110110111010011011110110010111011011111011111
ce10.chrV      	phRAIDER       	25             	54             	40             	0.741          	2              	0.706          	0.75           	10             	620703744      	743043072      	0.968          	0.781          		111111010101111011010011111111110010110111101010111111
ce10.chrV      	phRAIDER       	42             	54             	40             	0.741          	2              	0.705          	0.757          	10             	620666880      	743010304      	0.967          	0.779          		111110101011101110111111001100111111011101110101011111
ce10.chrV      	phRAIDER       	18             	54             	40             	0.741          	2              	0.704          	0.744          	10             	689704960      	813871104      	0.967          	0.783          		110111010111101111001101111111101100111101111010111011
ce10.chrV      	phRAIDER       	71             	54             	40             	0.741          	2              	0.705          	0.75           	9              	0              	0              	0.968          	0.783          		111111101001110111001111110011111100111011100101111111
ce10.chrV      	phRAIDER       	149            	54             	40             	0.741          	2              	0.703          	0.761          	10             	185716736      	309702656      	0.961          	0.774          		101110011001111011111011111111110111110111100110011101
ce10.chrV      	phRAIDER       	118            	54             	40             	0.741          	2              	0.703          	0.733          	10             	691343360      	813670400      	0.965          	0.782          		101111110101011111110101110011101011111110101011111101
ce10.chrV      	phRAIDER       	67             	54             	40             	0.741          	2              	0.702          	0.735          	9              	0              	0              	0.964          	0.783          		110010111011110111111101110011101111111011110111010011
ce10.chrV      	phRAIDER       	150            	56             	40             	0.714          	2              	0.701          	0.752          	9              	0              	0              	0.967          	0.78           		10111111001110101101011101111110111010110101110011111101
ce10.chrV      	phRAIDER       	158            	56             	40             	0.714          	2              	0.7            	0.756          	10             	0              	0              	0.972          	0.784          		11111111110010101111101011000011010111110101001111111111
ce10.chrV      	phRAIDER       	77             	56             	40             	0.714          	2              	0.701          	0.763          	9              	395231232      	519270400      	0.962          	0.776          		11100001101011111111111110100101111111111111010110000111
ce10.chrV      	phRAIDER       	53             	56             	40             	0.714          	2              	0.704          	0.745          	9              	0              	0              	0.968          	0.785          		10111111100111100101111010111101011110100111100111111101
ce10.chrV      	phRAIDER       	49             	56             	40             	0.714          	2              	0.707          	0.769          	10             	620843008      	743251968      	0.966          	0.785          		11010111001111111101101110011001110110111111110011101011
ce10.chrV      	phRAIDER       	66             	56             	40             	0.714          	2              	0.703          	0.75           	9              	620843008      	743170048      	0.965          	0.788          		11101011101100111101100111111111100110111100110111010111
ce10.chrV      	phRAIDER       	8              	56             	40             	0.714          	2              	0.704          	0.758          	9              	620785664      	743227392      	0.965          	0.784          		11010011011111101110111011011011011101110111111011001011
ce10.chrV      	phRAIDER       	15             	56             	40             	0.714          	2              	0.701          	0.743          	10             	0              	0              	0.963          	0.78           		11111011010010100111101111111111110111100101001011011111
ce10.chrV      	phRAIDER       	87             	56             	40             	0.714          	2              	0.7            	0.753          	9              	0              	0              	0.973          	0.784          		11111111111011101010100011011011000101010111011111111111
ce10.chrV      	phRAIDER       	83             	56             	40             	0.714          	2              	0.702          	0.747          	10             	691429376      	813780992      	0.964          	0.778          		11101100110111001011110111111111101111010011101100110111
ce10.chrV      	phRAIDER       	72             	56             	40             	0.714          	2              	0.707          	0.751          	9              	0              	0              	0.969          	0.779          		11111110011101010111100111011011100111101010111001111111
ce10.chrV      	phRAIDER       	5              	56             	40             	0.714          	2              	0.704          	0.761          	9              	621015040      	743452672      	0.967          	0.78           		11011110111001110111101010111101010111101110011101111011
ce10.chrV      	phRAIDER       	173            	56             	40             	0.714          	2              	0.703          	0.761          	14             	430215168      	552636416      	0.971          	0.784          		11111110110111010101011011011011011010101011101101111111
ce10.chrV      	phRAIDER       	121            	56             	40             	0.714          	2              	0.7            	0.746          	10             	181518336      	303751168      	0.964          	0.781          		11001110101110111010110111111111101101011101110101110011
ce10.chrV      	phRAIDER       	114            	56             	40             	0.714          	2              	0.701          	0.747          	10             	188469248      	310784000      	0.967          	0.785          		11110010110111111111001111000011110011111111101101001111
ce10.chrV      	phRAIDER       	102            	58             	40             	0.69           	2              	0.698          	0.752          	9              	0              	0              	0.968          	0.79           		1111111011001000111101011011111101101011110001001101111111
ce10.chrV      	phRAIDER       	81             	58             	40             	0.69           	2              	0.701          	0.761          	10             	620789760      	743137280      	0.962          	0.784          		1011000101111101111100111101111011110011111011111010001101
ce10.chrV      	phRAIDER       	93             	58             	40             	0.69           	2              	0.703          	0.755          	9              	621428736      	743862272      	0.971          	0.785          		1111110101110111001001101011111101011001001110111010111111
ce10.chrV      	phRAIDER       	63             	58             	40             	0.69           	2              	0.705          	0.741          	11             	691949568      	814379008      	0.969          	0.786          		1011011111011110110110110101001010110110110111101111101101
ce10.chrV      	phRAIDER       	106            	58             	40             	0.69           	2              	0.706          	0.746          	10             	96378880       	220299264      	0.967          	0.782          		1111101001110110100011110111111110111100010110111001011111
