chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr16         raider        0             0.54254       0.84484       0.47284       0.87804       0.15516       0.52716       28852         10326618112   62205         1509961728    
chr16         raider        1             0.54254       0.84484       0.47283       0.87804       0.15516       0.52717       28832         10212581376   62164         1510252544    
chr16         raider        2             0.54134       0.84207       0.46789       0.87741       0.15793       0.53211       28847         10990964736   98455         1445269504    
chr16         raider        3             0.54042       0.83865       0.46213       0.87675       0.16135       0.53787       32402         9915727872    26648         1494183936    
chr16         raider        4             0.53941       0.83855       0.46151       0.8765        0.16145       0.53849       32411         10617798656   8927          1495212032    
chr16         raider        5             0.53728       0.84865       0.47661       0.87729       0.15135       0.52339       32420         10212622336   62845         1441415168    
chr16         raider        6             0.53614       0.85113       0.48021       0.87735       0.14887       0.51979       0             0             189008        1494347776    
chr16         raider        7             0.53517       0.85917       0.49362       0.87813       0.14083       0.50638       32445         10478006272   95232         1527164928    
chr16         raider        8             0.53384       0.85771       0.49043       0.87764       0.14229       0.50957       36002         10418896896   138916        1526185984    
chr16         raider        9             0.53235       0.85458       0.48428       0.8769        0.14542       0.51572       36012         10213122048   31077         1500520448    
chr17         raider        0             0.56059       0.74127       0.38488       0.85384       0.25873       0.61512       32418         8613019648    113532        1445769216    
chr17         raider        1             0.56059       0.74127       0.38489       0.85384       0.25873       0.61511       32436         8612462592    113531        1444044800    
chr17         raider        2             0.55967       0.74363       0.38667       0.85397       0.25637       0.61333       0             0             142632        1445412864    
chr17         raider        3             0.55854       0.76214       0.40409       0.8567        0.23786       0.59591       32438         9816383488    70675         1443332096    
chr19         raider        0             0.36386       0.82633       0.39089       0.8092        0.17367       0.60911       14430         7110283264    63666         1436598272    
chr19         raider        1             0.36386       0.82633       0.39089       0.8092        0.17367       0.60911       14431         7126016000    63671         1445502976    
chr19         raider        2             0.36365       0.82255       0.38563       0.80844       0.17745       0.61437       14438         7701622784    211428        1440452608    
chr19         raider        3             0.3634        0.8201        0.38222       0.80791       0.1799        0.61778       0             0             175562        1446486016    
chr19         raider        4             0.36297       0.80924       0.36821       0.80573       0.19076       0.63179       14458         7110225920    150562        1446363136    
chr19         raider        5             0.36248       0.8107        0.36968       0.80589       0.1893        0.63032       14454         7701778432    24729         1437790208    
chr19         raider        6             0.36201       0.81216       0.37119       0.80606       0.18784       0.62881       14458         7702949888    204858        1445412864    
chr19         raider        7             0.36154       0.81115       0.36963       0.80575       0.18885       0.63037       18014         7110512640    64620         1438908416    
chr19         raider        8             0.36106       0.81166       0.36995       0.80573       0.18834       0.63005       18015         7158902784    46819         1439690752    
chr19         raider        9             0.36059       0.81308       0.37141       0.80588       0.18692       0.62859       18024         7110623232    136784        1440419840    
chr19         raider        10            0.36055       0.81712       0.37651       0.80665       0.18288       0.62349       0             0             50529         1442623488    
chr18         raider        0             0.31761       0.85459       0.36559       0.82599       0.14541       0.63441       21602         8560455680    199318        1679929344    
chr18         raider        1             0.31761       0.85459       0.36559       0.82599       0.14541       0.63441       21603         8466513920    188487        1435635712    
chr18         raider        2             0.31682       0.85061       0.35878       0.82515       0.14939       0.64122       21604         8465793024    195766        1433567232    
chr18         raider        3             0.31625       0.84866       0.35538       0.8247        0.15134       0.64462       21616         10191040512   66188         1434824704    
chr18         raider        4             0.31583       0.8502        0.35742       0.82487       0.1498        0.64258       21622         10190725120   51849         1435033600    
chr18         raider        5             0.31516       0.84547       0.34984       0.82393       0.15453       0.65016       21645         10190700544   109559        1436553216    
chr18         raider        6             0.31489       0.84447       0.34817       0.8237        0.15553       0.65183       21645         10189930496   181535        1432449024    
chr18         raider        7             0.31473       0.84252       0.34523       0.82333       0.15748       0.65477       25216         8514363392    87974         1439608832    
chr18         raider        8             0.31453       0.83898       0.34009       0.82267       0.16102       0.65991       25203         9669709824    120359        1433735168    
chr18         raider        9             0.31379       0.83568       0.33502       0.82194       0.16432       0.66498       25210         9669664768    170849        1437589504    
chr18         raider        10            0.31293       0.83448       0.33279       0.82154       0.16552       0.66721       25208         8959639552    120490        1620107264    
